datetime,id_time,n_flows,n_packets,traffic_volume,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
2023-10-10 10:00:00+00:00,34,1788520,89803425,193.7694,403283,4.88,17.83,624511,7.55,190.84,728273,8.81,151.29,0.81,0.83,0.45,0.42,17.94,157.15
2023-10-10 11:00:00+00:00,35,1729403,72799069,153.5152,381152,4.94,18.68,597164,7.74,196.27,700704,9.09,168.58,0.8,0.82,0.45,0.42,16.91,158.63
2023-10-10 12:00:00+00:00,36,1705950,91120639,204.3423,375715,5.19,19.63,609567,8.42,216.24,704202,9.72,188.66,0.79,0.82,0.44,0.41,16.74,161.59
2023-10-10 13:00:00+00:00,37,1667571,82262633,183.0533,335416,5.21,22.0,596749,9.26,244.82,668583,10.38,218.11,0.78,0.81,0.43,0.41,15.87,160.43
2023-10-10 14:00:00+00:00,38,1578282,72995821,157.825,307429,5.5,22.46,588520,10.54,253.35,607544,10.88,220.03,0.77,0.8,0.43,0.41,15.33,166.74
2023-10-10 15:00:00+00:00,39,1465760,70867440,153.6051,290296,5.7,23.77,475413,9.33,237.46,592616,11.63,252.12,0.76,0.78,0.42,0.41,15.11,169.65
2023-10-10 16:00:00+00:00,40,1323809,80325201,179.3717,247155,5.72,24.94,421454,9.75,239.16,522104,12.08,257.79,0.74,0.77,0.41,0.4,14.8,174.79
2023-10-10 17:00:00+00:00,41,1393742,87599766,192.8505,257595,5.96,25.97,436735,10.1,238.24,544850,12.6,257.82,0.74,0.77,0.4,0.4,14.99,175.46
2023-10-10 18:00:00+00:00,42,1484323,68263713,146.2941,241457,5.82,25.37,558055,13.46,281.94,513081,12.37,237.78,0.73,0.76,0.4,0.4,14.07,176.05
2023-10-10 19:00:00+00:00,43,1595360,54558668,116.225,205832,5.48,24.15,713617,19.0,372.95,460349,12.26,229.52,0.72,0.75,0.4,0.4,12.6,180.44
2023-10-10 20:00:00+00:00,44,1593609,51951704,112.9791,211256,5.89,25.64,634135,17.69,321.96,505929,14.12,244.54,0.71,0.75,0.38,0.4,9.65,189.16
2023-10-10 21:00:00+00:00,45,1541775,51470402,128.5847,188538,5.76,27.03,604162,18.46,331.68,506295,15.47,269.44,0.7,0.75,0.38,0.4,8.18,193.15
2023-10-10 22:00:00+00:00,46,1630073,30488198,68.0979,193158,6.13,27.77,666087,21.14,370.44,428023,13.59,252.1,0.7,0.75,0.37,0.4,6.57,198.07
2023-10-10 23:00:00+00:00,47,1186076,26916247,58.3637,197502,6.38,30.6,466560,15.08,303.01,471795,15.25,306.19,0.72,0.75,0.4,0.43,8.64,179.27
2023-10-11 00:00:00+00:00,48,703775,41384379,96.8425,183811,6.22,32.33,431715,14.6,306.16,469949,15.89,326.86,0.77,0.76,0.47,0.47,14.04,138.69
2023-10-11 01:00:00+00:00,49,857585,31025003,69.7107,174777,6.09,31.14,581966,20.27,363.94,473475,16.49,310.77,0.78,0.76,0.47,0.47,13.66,142.55
2023-10-11 02:00:00+00:00,50,921840,45791870,107.5571,177402,5.67,29.87,614566,19.64,361.3,518232,16.56,317.75,0.78,0.76,0.49,0.47,15.57,132.87
2023-10-11 03:00:00+00:00,51,1087519,49140816,111.9491,225487,5.39,24.72,679445,16.26,295.28,691529,16.54,276.06,0.81,0.8,0.49,0.46,18.01,128.31
2023-10-11 04:00:00+00:00,52,1180367,84654305,186.5397,302011,4.96,19.92,683642,11.24,227.63,786112,12.92,215.77,0.84,0.83,0.51,0.45,23.0,122.4
2023-10-11 05:00:00+00:00,53,1271327,90656772,200.9429,347716,4.85,18.19,729182,10.17,210.84,855249,11.92,200.01,0.84,0.83,0.5,0.45,25.22,122.2
2023-10-11 06:00:00+00:00,54,1222233,82887084,182.9958,349094,4.6,16.89,704665,9.28,191.4,826345,10.89,182.21,0.85,0.84,0.51,0.46,28.51,122.35
2023-10-11 07:00:00+00:00,55,1298155,79148911,170.5414,380010,4.82,17.85,738863,9.37,194.26,864364,10.96,185.25,0.85,0.83,0.5,0.45,27.44,123.97
2023-10-11 08:00:00+00:00,56,1215046,96503696,216.2537,392887,4.92,18.09,679277,8.51,184.72,782164,9.8,168.41,0.85,0.84,0.5,0.45,27.25,126.96
2023-10-11 09:00:00+00:00,57,1189440,88825755,194.904,390578,4.86,17.38,678470,8.45,183.69,769982,9.59,166.92,0.84,0.83,0.5,0.45,27.09,126.05
2023-10-11 10:00:00+00:00,58,1218106,93707787,205.8122,377222,4.8,18.76,684894,8.72,197.9,771830,9.82,180.22,0.84,0.83,0.51,0.45,28.32,120.46
2023-10-11 11:00:00+00:00,59,1259870,82539376,179.5459,381440,5.17,19.79,720894,9.77,215.56,786722,10.66,199.16,0.84,0.82,0.5,0.44,25.44,123.65
2023-10-11 12:00:00+00:00,60,1309119,100350256,233.8578,366853,5.51,22.28,756234,11.36,253.86,790005,11.87,239.32,0.83,0.82,0.5,0.45,24.43,125.43
2023-10-11 13:00:00+00:00,61,1272507,75124186,161.6202,326588,5.59,24.08,763481,13.08,283.44,738739,12.65,259.53,0.83,0.81,0.49,0.45,22.61,126.85
2023-10-11 14:00:00+00:00,62,1187664,71708780,161.4393,289325,5.75,25.67,736883,14.64,301.68,680721,13.52,275.55,0.82,0.8,0.49,0.45,21.78,130.37
2023-10-11 15:00:00+00:00,63,1109910,71018863,158.6609,269676,6.04,27.35,694111,15.56,319.25,657726,14.74,308.63,0.81,0.79,0.48,0.44,20.54,134.28
2023-10-11 16:00:00+00:00,64,984762,67152706,150.3309,224826,6.04,29.31,631839,16.97,334.37,578753,15.55,325.4,0.78,0.77,0.49,0.46,21.54,130.52
2023-10-11 17:00:00+00:00,65,967041,81957362,183.7993,243808,6.32,30.28,573985,14.88,326.34,602801,15.63,337.18,0.78,0.77,0.48,0.45,21.56,128.7
2023-10-11 18:00:00+00:00,66,931801,79008404,175.122,257129,6.53,29.28,532507,13.52,298.8,601431,15.27,312.4,0.79,0.77,0.47,0.44,20.44,132.2
2023-10-11 19:00:00+00:00,67,901107,62481411,138.1023,252920,6.95,29.22,525748,14.45,287.48,595845,16.38,305.72,0.8,0.78,0.44,0.42,16.75,149.21
2023-10-11 20:00:00+00:00,68,791645,44700505,99.7044,221607,6.78,29.66,476904,14.59,269.71,539867,16.52,281.91,0.8,0.79,0.44,0.42,14.95,152.11
2023-10-11 21:00:00+00:00,69,880493,24859758,53.3574,170938,6.13,29.22,596155,21.37,372.12,450406,16.14,275.76,0.79,0.78,0.45,0.45,14.99,150.89
2023-10-11 22:00:00+00:00,70,1156229,20999178,43.6953,193227,6.7,30.97,797888,27.69,456.66,464394,16.11,292.52,0.79,0.77,0.44,0.44,12.85,154.55
2023-10-11 23:00:00+00:00,71,1240614,26024088,54.6521,187020,6.34,32.44,839951,28.47,490.13,480686,16.29,328.75,0.77,0.76,0.47,0.47,14.72,134.21
2023-10-12 00:00:00+00:00,72,1348213,26935883,55.2068,179276,6.24,31.9,918743,32.0,567.64,468697,16.32,331.77,0.77,0.76,0.47,0.47,13.99,137.38
2023-10-12 01:00:00+00:00,73,1334127,21357879,43.8154,184880,6.32,32.87,908014,31.04,546.66,485367,16.59,338.97,0.76,0.74,0.47,0.47,14.13,135.8
2023-10-12 02:00:00+00:00,74,1107747,26899734,59.4313,178096,5.82,29.62,751799,24.55,443.42,460129,15.03,314.52,0.78,0.76,0.49,0.47,15.74,129.85
2023-10-12 03:00:00+00:00,75,1128136,40738147,89.4859,223117,5.56,25.19,700647,17.46,312.76,671122,16.72,303.01,0.8,0.79,0.49,0.46,18.09,124.53
2023-10-12 04:00:00+00:00,76,1219718,64861518,144.2561,296647,5.13,20.78,701117,12.12,235.35,764350,13.21,228.1,0.83,0.82,0.5,0.45,23.44,121.74
2023-10-12 05:00:00+00:00,77,1234542,81588708,180.2048,327596,4.89,18.9,703215,10.51,207.16,793646,11.86,199.82,0.84,0.83,0.5,0.45,25.83,120.57
2023-10-12 06:00:00+00:00,78,1264240,92437231,206.1093,356439,4.81,17.6,718551,9.7,198.66,817469,11.03,189.65,0.84,0.83,0.5,0.45,27.47,122.45
2023-10-12 07:00:00+00:00,79,1120568,101114286,225.4111,380841,5.09,18.12,575265,7.69,173.49,835736,11.17,192.36,0.85,0.83,0.49,0.45,26.4,126.71
2023-10-12 08:00:00+00:00,80,1072453,93595705,206.4286,391572,5.16,18.61,526452,6.93,170.18,771537,10.16,183.77,0.84,0.83,0.5,0.44,27.44,124.31
2023-10-12 09:00:00+00:00,81,1006446,82760681,181.7319,376605,4.98,18.57,488861,6.46,171.31,727903,9.62,185.35,0.84,0.83,0.5,0.45,27.57,120.59
2023-10-12 10:00:00+00:00,82,1039843,97418896,216.3212,384983,5.11,19.12,509407,6.76,180.44,750931,9.96,197.85,0.84,0.83,0.5,0.45,27.93,123.06
2023-10-12 11:00:00+00:00,83,1061870,77507005,166.2695,366758,5.23,20.41,546344,7.79,204.98,737559,10.52,214.31,0.84,0.83,0.5,0.45,25.92,121.77
2023-10-12 12:00:00+00:00,84,1063244,82579832,184.8632,361668,5.64,21.76,554075,8.64,220.88,740250,11.54,241.61,0.83,0.82,0.49,0.44,23.09,126.19
2023-10-12 13:00:00+00:00,85,1087723,63672897,137.6961,287656,5.29,22.18,663847,12.22,271.94,619738,11.41,247.61,0.82,0.81,0.5,0.46,22.2,124.56
2023-10-12 14:00:00+00:00,86,1300491,65439330,140.6839,275185,5.74,25.13,810794,16.91,373.34,619297,12.92,284.34,0.81,0.8,0.49,0.45,22.0,127.94
2023-10-12 15:00:00+00:00,87,1161645,67703676,146.1094,263366,6.1,27.64,711619,16.49,350.19,630359,14.61,339.07,0.8,0.79,0.48,0.45,21.01,129.48
2023-10-12 16:00:00+00:00,88,1161939,82030105,178.6522,233982,6.34,29.57,740903,20.09,391.12,580511,15.74,361.37,0.79,0.78,0.48,0.45,20.63,130.56
2023-10-12 17:00:00+00:00,89,1119145,64726279,143.0564,220300,6.19,28.13,735525,20.68,387.76,530723,14.92,323.55,0.79,0.78,0.48,0.46,20.76,133.26
2023-10-12 18:00:00+00:00,90,1085343,53503475,112.9685,230298,6.56,28.13,715451,20.38,366.24,539061,15.36,302.77,0.8,0.79,0.46,0.44,18.26,143.44
2023-10-12 19:00:00+00:00,91,1080172,40811845,85.8607,206421,6.44,28.1,728203,22.72,401.22,500143,15.61,275.33,0.8,0.79,0.46,0.44,16.73,148.23
2023-10-12 20:00:00+00:00,92,1019610,39200657,84.9296,187209,6.42,28.92,702412,24.08,415.47,456898,15.67,264.32,0.8,0.78,0.45,0.45,15.25,151.0
2023-10-12 21:00:00+00:00,93,801490,23885066,51.5512,163536,6.09,28.53,559732,20.86,346.46,395042,14.72,257.59,0.79,0.78,0.46,0.46,14.15,151.04
2023-10-12 22:00:00+00:00,94,808882,20437409,42.7973,180328,6.58,30.22,546383,19.95,330.86,428089,15.63,270.5,0.79,0.78,0.44,0.44,12.83,155.53
2023-10-12 23:00:00+00:00,95,721660,19545875,41.3333,165638,6.31,30.33,480082,18.3,319.95,434849,16.58,282.15,0.79,0.78,0.45,0.45,12.61,153.65
2023-10-13 00:00:00+00:00,96,885859,32578579,65.0565,189132,6.83,31.5,576884,20.83,383.57,500220,18.06,338.97,0.8,0.79,0.43,0.44,12.02,157.11
2023-10-13 01:00:00+00:00,97,971747,23021422,50.8182,182517,6.67,31.17,659749,24.1,429.39,500664,18.29,335.53,0.79,0.78,0.43,0.44,11.89,156.7
2023-10-13 02:00:00+00:00,98,886911,31809724,73.3784,188442,6.42,29.07,578605,19.71,395.71,483742,16.48,341.13,0.8,0.79,0.44,0.43,13.03,153.45
2023-10-13 03:00:00+00:00,99,867302,46167790,104.3518,229921,6.3,25.89,527327,14.46,297.04,537554,14.74,310.43,0.82,0.81,0.45,0.43,15.35,147.9
2023-10-13 04:00:00+00:00,100,837426,77265325,187.0207,295872,6.05,21.91,447182,9.15,220.01,608249,12.44,241.62,0.83,0.82,0.46,0.42,18.66,144.05
2023-10-13 05:00:00+00:00,101,913749,72834185,157.6879,327635,5.92,20.71,482571,8.72,210.2,658349,11.9,229.51,0.85,0.84,0.47,0.43,21.85,144.59
2023-10-13 06:00:00+00:00,102,1011824,79563650,169.4128,360603,5.98,20.46,538154,8.92,198.19,706010,11.71,209.35,0.84,0.83,0.47,0.43,23.56,143.33
2023-10-13 07:00:00+00:00,103,943070,72470564,149.36,338218,5.73,21.84,494048,8.37,198.54,677191,11.48,216.64,0.84,0.83,0.47,0.43,24.82,141.19
2023-10-13 08:00:00+00:00,104,973137,84925757,195.1091,334447,5.94,22.83,494816,8.79,214.57,685232,12.18,230.24,0.84,0.83,0.47,0.43,25.32,140.47
2023-10-13 09:00:00+00:00,105,1017338,75598719,162.2745,340536,6.16,23.87,521411,9.43,224.77,709291,12.82,245.22,0.84,0.83,0.47,0.43,24.88,142.04
2023-10-13 10:00:00+00:00,106,975911,71451758,154.4391,319795,6.28,25.56,506390,9.95,233.26,677625,13.32,256.62,0.83,0.82,0.47,0.43,24.61,141.28
2023-10-13 11:00:00+00:00,107,1006166,72374134,154.1778,311668,6.7,27.77,549563,11.81,270.8,682634,14.67,298.19,0.83,0.82,0.46,0.42,22.11,144.37
2023-10-13 12:00:00+00:00,108,949990,68692731,150.4644,277352,6.81,30.66,510268,12.54,300.71,638050,15.68,333.29,0.82,0.8,0.45,0.43,20.56,143.7
2023-10-13 13:00:00+00:00,109,1053763,57983913,122.0394,262157,7.09,31.71,613224,16.59,326.94,638612,17.28,345.63,0.81,0.8,0.45,0.43,18.69,148.14
2023-10-13 14:00:00+00:00,110,990845,54801594,117.9701,245451,7.08,32.57,610556,17.62,333.1,608075,17.55,350.94,0.81,0.8,0.45,0.43,17.34,147.24
2023-10-13 15:00:00+00:00,111,1011419,67088445,150.5185,236413,7.21,33.93,636545,19.4,357.37,606328,18.48,371.31,0.8,0.78,0.45,0.43,16.6,147.29
2023-10-13 16:00:00+00:00,112,891193,44429374,92.7478,198412,6.7,32.9,588702,19.87,344.86,519798,17.55,334.75,0.78,0.77,0.47,0.45,17.49,143.2
2023-10-13 17:00:00+00:00,113,737890,45560546,98.9113,190453,6.65,32.24,470887,16.43,308.45,471952,16.47,314.54,0.78,0.77,0.47,0.46,17.92,137.85
2023-10-13 18:00:00+00:00,114,759213,72705171,163.1692,210728,7.06,34.05,432565,14.5,326.56,518395,17.37,354.33,0.79,0.77,0.45,0.44,16.89,144.87
2023-10-13 19:00:00+00:00,115,909273,56431768,124.9703,206709,7.08,33.27,562456,19.26,370.17,512374,17.55,339.63,0.78,0.77,0.45,0.43,16.26,145.99
2023-10-13 20:00:00+00:00,116,1105224,44937502,100.7172,184213,6.82,32.25,759075,28.1,463.86,470939,17.43,305.71,0.79,0.78,0.45,0.44,14.88,143.31
2023-10-13 21:00:00+00:00,117,992605,31595174,72.6398,152652,6.16,31.88,690271,27.87,459.75,411365,16.61,291.83,0.77,0.76,0.48,0.48,14.69,141.82
2023-10-13 22:00:00+00:00,118,1115807,21055059,43.1978,153922,6.34,31.51,775967,31.97,527.69,390709,16.1,274.24,0.77,0.76,0.45,0.46,13.21,150.27
2023-10-13 23:00:00+00:00,119,1118046,17301762,36.2119,150999,6.31,32.45,779331,32.58,535.48,377286,15.77,293.18,0.78,0.77,0.45,0.46,12.32,149.46
2023-10-14 00:00:00+00:00,120,976629,19721275,42.1064,160892,6.64,32.91,664966,27.44,459.4,414996,17.13,335.05,0.79,0.78,0.44,0.45,11.79,154.11
2023-10-14 01:00:00+00:00,121,711256,22281630,48.2348,166714,6.67,33.23,440203,17.61,345.06,437985,17.52,347.66,0.78,0.77,0.43,0.44,11.7,153.84
2023-10-14 02:00:00+00:00,122,823811,25087788,57.4778,126655,5.53,28.76,585934,25.58,424.31,355793,15.53,302.03,0.75,0.74,0.5,0.51,12.82,136.08
2023-10-14 03:00:00+00:00,123,1040851,24161478,52.3908,147916,6.15,29.95,729420,30.31,506.13,461198,19.16,352.01,0.78,0.77,0.46,0.46,12.65,149.2
2023-10-14 04:00:00+00:00,124,1059715,32655958,75.7015,158884,6.06,28.62,728992,27.8,475.75,480768,18.33,337.57,0.79,0.78,0.46,0.46,13.71,145.8
2023-10-14 05:00:00+00:00,125,1054079,39677722,86.9521,165647,6.04,28.35,709957,25.87,451.88,499911,18.22,341.72,0.79,0.78,0.47,0.45,15.86,142.65
2023-10-14 06:00:00+00:00,126,1146522,51186425,118.5938,182205,6.21,28.28,769603,26.25,459.27,527783,18.0,334.15,0.79,0.78,0.47,0.45,16.28,142.08
2023-10-14 07:00:00+00:00,127,1075688,53007394,118.9628,201929,6.62,30.34,712698,23.35,405.6,559699,18.34,332.58,0.8,0.79,0.45,0.44,16.98,145.84
2023-10-14 08:00:00+00:00,128,1072269,66717342,154.3429,208941,6.66,30.34,706301,22.53,385.24,574432,18.32,333.12,0.8,0.79,0.46,0.44,17.03,144.71
2023-10-14 09:00:00+00:00,129,1074089,65931307,160.4918,213411,6.79,30.17,704488,22.41,384.32,576059,18.33,333.0,0.8,0.79,0.46,0.44,17.03,145.56
2023-10-14 10:00:00+00:00,130,1051144,60609404,138.5575,212706,6.74,30.5,686088,21.73,377.36,542334,17.17,327.68,0.79,0.78,0.46,0.44,16.88,146.49
2023-10-14 11:00:00+00:00,131,1063904,53393538,121.4138,209443,6.75,31.47,703340,22.68,386.9,544168,17.55,336.04,0.79,0.78,0.46,0.44,17.01,145.02
2023-10-14 12:00:00+00:00,132,1116114,65598391,162.3161,209071,6.75,32.55,730866,23.59,415.79,561653,18.13,373.33,0.78,0.77,0.47,0.46,18.2,137.66
2023-10-14 13:00:00+00:00,133,1072431,54442456,120.9463,199294,6.68,32.28,705635,23.64,408.5,530339,17.77,357.36,0.78,0.77,0.47,0.45,17.72,138.94
2023-10-14 14:00:00+00:00,134,1004820,61703952,140.4869,186075,6.5,31.94,665514,23.25,409.06,508663,17.77,366.23,0.77,0.76,0.48,0.46,18.39,137.06
2023-10-14 15:00:00+00:00,135,1025557,55762487,122.7031,201480,6.68,32.9,664814,22.05,403.67,529867,17.58,393.39,0.78,0.76,0.47,0.45,18.86,134.65
2023-10-14 16:00:00+00:00,136,960281,60359787,129.5974,205416,6.76,33.27,603277,19.86,386.99,537848,17.7,394.72,0.78,0.76,0.47,0.46,19.25,133.61
2023-10-14 17:00:00+00:00,137,1004417,70542069,151.6117,203305,6.77,32.96,639353,21.29,401.87,632790,21.07,402.21,0.77,0.76,0.48,0.46,19.12,132.05
2023-10-14 18:00:00+00:00,138,1018382,74802364,167.2838,203373,6.65,32.88,635587,20.77,405.33,592033,19.35,394.2,0.77,0.76,0.48,0.46,19.54,128.1
2023-10-14 19:00:00+00:00,139,832579,70023716,161.127,209743,6.78,33.1,460521,14.89,346.47,550669,17.8,382.25,0.77,0.76,0.48,0.46,18.47,127.0
2023-10-14 20:00:00+00:00,140,794113,52297903,112.0449,196893,6.8,34.0,450822,15.57,357.75,525801,18.16,386.81,0.77,0.75,0.47,0.46,17.21,131.99
2023-10-14 21:00:00+00:00,141,761316,51109127,107.8923,186067,6.68,34.24,443458,15.91,339.85,492849,17.69,367.46,0.77,0.76,0.47,0.47,15.68,130.46
2023-10-14 22:00:00+00:00,142,748054,30395192,61.9786,184135,6.73,34.84,436178,15.94,338.17,490067,17.91,363.14,0.76,0.75,0.47,0.47,14.61,131.38
2023-10-14 23:00:00+00:00,143,758350,25100622,52.6811,174909,6.63,34.26,462064,17.51,359.06,464429,17.6,351.57,0.76,0.75,0.47,0.47,14.1,133.57
2023-10-15 00:00:00+00:00,144,813198,28992012,61.1665,173951,6.68,35.43,511318,19.64,389.65,472181,18.14,364.08,0.76,0.75,0.47,0.47,13.74,135.4
2023-10-15 01:00:00+00:00,145,826894,24567645,53.0152,167821,6.47,36.67,524167,20.2,401.65,470034,18.11,376.33,0.76,0.75,0.48,0.48,13.76,132.34
2023-10-15 02:00:00+00:00,146,760172,27725362,63.5932,169914,6.49,35.97,470121,17.97,390.92,481279,18.39,398.99,0.76,0.75,0.48,0.48,14.04,132.26
2023-10-15 03:00:00+00:00,147,763959,26212150,57.6526,167954,6.41,35.34,463759,17.69,402.85,491013,18.73,421.27,0.76,0.75,0.48,0.48,14.42,133.03
2023-10-15 04:00:00+00:00,148,799164,31550174,66.2056,177894,6.48,34.38,484380,17.65,404.11,514269,18.74,427.74,0.77,0.75,0.48,0.47,14.85,132.88
2023-10-15 05:00:00+00:00,149,814287,41268874,89.5721,187881,6.54,33.14,486676,16.93,397.12,538153,18.72,427.14,0.77,0.76,0.47,0.46,15.71,133.19
2023-10-15 06:00:00+00:00,150,852486,48235770,102.6051,199474,6.57,32.47,502082,16.53,391.31,559089,18.41,424.25,0.78,0.77,0.48,0.46,17.8,127.32
2023-10-15 07:00:00+00:00,151,956185,64215018,146.2787,219498,6.81,32.41,566253,17.56,391.83,599143,18.58,419.69,0.78,0.77,0.47,0.45,18.17,130.41
2023-10-15 08:00:00+00:00,152,937236,64845925,148.9217,213973,6.52,31.34,561765,17.13,374.63,574263,17.51,401.02,0.78,0.77,0.48,0.46,19.12,128.92
